Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M15023,Micro,175,18,ARIMA,0.036431074142456,0.0034537315368652,0.8729575228229611,0.643896408584131,205.12965120112548,306.0821519279226,350.4267239941356,9.634837673659494,9.166914037125096
M15023,Micro,175,18,SARIMA,0.3676638603210449,0.0025851726531982,0.8729575228229611,0.643896408584131,205.12965120112548,172.9434261988424,193.68794034781004,5.341471138357488,5.1982303348407335
M15023,Micro,175,18,Holt-Winters,0.0404410362243652,0.0010700225830078,0.8729575228229611,0.643896408584131,205.12965120112548,192.35129333587045,236.69257066169953,6.014167651865324,5.761032229261804
M15023,Micro,175,18,DLM,0.0313270092010498,0.0010890960693359,0.8729575228229611,0.643896408584131,205.12965120112548,97.7780901890687,132.64356272906332,2.8335284102373888,2.873377092145877
M15023,Micro,175,18,RNN,3.127187967300415,2.2056891918182373,0.8729575228229611,0.643896408584131,205.12965120112548,3305.275965573798,3319.7201634398357,99.85738389951932,199.43036319737573
M15023,Micro,175,18,LSTM,2.8693830966949463,2.0186357498168945,0.8729575228229611,0.643896408584131,205.12965120112548,3309.120546022962,3323.5671894215607,99.9739950624042,199.8960212126506
M15023,Micro,175,18,GRU,4.063845157623291,1.8356170654296875,0.8729575228229611,0.643896408584131,205.12965120112548,3309.4277158030973,3323.866995735623,99.98351933273882,199.93409507618293
M15023,Micro,175,18,TCN,5.197401762008667,0.5933129787445068,0.8729575228229611,0.643896408584131,205.12965120112548,439.8317366753473,509.5303024900827,14.091762949116768,12.843505291457207
M15026,Micro,175,18,ARIMA,0.0140550136566162,0.0013141632080078,0.8592338922094236,0.4140774653578816,633.7080323832954,608.2499448701105,650.4594335246707,9.516103579489227,9.154692245710356
M15026,Micro,175,18,SARIMA,0.3134760856628418,0.0051410198211669,0.8592338922094236,0.4140774653578816,633.7080323832954,277.77820388996463,340.36892847583397,4.258115918571446,4.356307933341634
M15026,Micro,175,18,Holt-Winters,0.0352346897125244,0.0010700225830078,0.8592338922094236,0.4140774653578816,633.7080323832954,507.1882057431562,614.3265836004402,7.851823396782752,8.341819169688849
M15026,Micro,175,18,DLM,0.0332758426666259,0.0010030269622802,0.8592338922094236,0.4140774653578816,633.7080323832954,325.9200554041611,412.25546460177554,5.030960286500085,4.885812185006517
M15026,Micro,175,18,RNN,2.108358144760132,1.357684850692749,0.8592338922094236,0.4140774653578816,633.7080323832954,6453.596193300697,6472.190840854901,99.99634344854424,199.96600895109583
M15026,Micro,175,18,LSTM,3.256943941116333,1.747377872467041,0.8592338922094236,0.4140774653578816,633.7080323832954,6452.8346997718145,6471.425914652356,99.98461657308133,199.93848070892705
M15026,Micro,175,18,GRU,3.4730708599090576,2.1082780361175537,0.8592338922094236,0.4140774653578816,633.7080323832954,6453.055058188253,6471.6442665954,99.9880578782396,199.95224267562656
M15026,Micro,175,18,TCN,237.8507349491119,1.366374969482422,0.8592338922094236,0.4140774653578816,633.7080323832954,338.515875,467.0026984349776,5.034468451642823,5.108472984129884
M15172,Micro,380,18,ARIMA,0.1333081722259521,0.0188472270965576,0.635988135679429,-0.0234999091102661,545.8651134894059,196.11963244764695,212.88713696730724,29.063484303272563,24.83792236405136
M15172,Micro,380,18,SARIMA,0.710867166519165,0.0082788467407226,0.635988135679429,-0.0234999091102661,545.8651134894059,180.26243904244035,214.85543962472804,24.14350295039318,23.297895074962277
M15172,Micro,380,18,Holt-Winters,0.0850789546966552,0.0034618377685546,0.635988135679429,-0.0234999091102661,545.8651134894059,469.4619809507375,503.7787342623843,68.44019697430679,48.67833656566078
M15172,Micro,380,18,DLM,0.0802431106567382,0.0043118000030517,0.635988135679429,-0.0234999091102661,545.8651134894059,223.8158641427511,243.13506120464916,32.56536944600539,27.815187583712653
M15172,Micro,380,18,RNN,10.538141012191772,2.887310743331909,0.635988135679429,-0.0234999091102661,545.8651134894059,730.0721258587307,744.606208908239,98.83198059287808,195.3846012561124
M15172,Micro,380,18,LSTM,12.274371147155762,2.192453145980835,0.635988135679429,-0.0234999091102661,545.8651134894059,737.5861248829299,751.9724016043699,99.88545987431776,199.54272843383848
M15172,Micro,380,18,GRU,13.563997745513916,4.787070035934448,0.635988135679429,-0.0234999091102661,545.8651134894059,735.0294771989187,749.5131179465457,99.52273906236626,198.1024763871267
M15172,Micro,380,18,TCN,14.58258318901062,1.1475367546081543,0.635988135679429,-0.0234999091102661,545.8651134894059,111.71518961588542,169.69282519323528,13.293010775603369,14.691769587443511
M15406,Micro,174,18,ARIMA,0.0830218791961669,0.0071432590484619,0.5912744609170429,0.5898429788299222,1172.511791720053,1213.1213832981166,1447.5858463668355,20.242122896218685,19.07969783322284
M15406,Micro,174,18,SARIMA,0.3682849407196045,0.0086340904235839,0.5912744609170429,0.5898429788299222,1172.511791720053,1085.0885837608628,1334.9860476606127,16.39694195407054,17.232411867924284
M15406,Micro,174,18,Holt-Winters,0.0841000080108642,0.0057919025421142,0.5912744609170429,0.5898429788299222,1172.511791720053,1649.573691355802,1984.5517387233335,25.119849717300756,30.173628590919915
M15406,Micro,174,18,DLM,0.0607678890228271,0.0046899318695068,0.5912744609170429,0.5898429788299222,1172.511791720053,1013.0876991765716,1219.573504322898,15.536696391925313,15.795721633273152
M15406,Micro,174,18,RNN,6.578678131103516,1.7959439754486084,0.5912744609170429,0.5898429788299222,1172.511791720053,6437.5621452874075,6567.114126724816,99.91760223856106,199.67069224524195
M15406,Micro,174,18,LSTM,4.196473121643066,1.5298810005187988,0.5912744609170429,0.5898429788299222,1172.511791720053,6442.046297379281,6571.549772249183,99.98956619383908,199.95827180167893
M15406,Micro,174,18,GRU,6.421400785446167,3.1455953121185303,0.5912744609170429,0.5898429788299222,1172.511791720053,6442.163644779503,6571.657866354165,99.99166375814264,199.96666234462324
M15406,Micro,174,18,TCN,7.408308267593384,0.6266131401062012,0.5912744609170429,0.5898429788299222,1172.511791720053,1296.0915475260415,1539.8970317560847,23.34902141464155,20.056541051277826
M15444,Micro,362,18,ARIMA,0.0516481399536132,0.005171775817871,0.9528019412116292,0.7001257984967687,66.56846078068354,72.26759901407142,89.90966965889801,11.49478683982117,11.035048065020163
M15444,Micro,362,18,SARIMA,0.6530930995941162,0.0042989253997802,0.9528019412116292,0.7001257984967687,66.56846078068354,73.719435749967,96.07801819960068,10.92173711374728,11.570307497218518
M15444,Micro,362,18,Holt-Winters,0.0561079978942871,0.0036871433258056,0.9528019412116292,0.7001257984967687,66.56846078068354,71.21646568979503,92.9401961975367,10.644939887079357,11.08372573688096
M15444,Micro,362,18,DLM,0.0923628807067871,0.0068819522857666,0.9528019412116292,0.7001257984967687,66.56846078068354,56.3855226714945,67.17080046432251,8.552859509013064,8.606734667284579
M15444,Micro,362,18,RNN,2.9513931274414062,1.8024752140045168,0.9528019412116292,0.7001257984967687,66.56846078068354,656.9545869297451,663.0731582600944,98.56338452720055,194.33681422408716
M15444,Micro,362,18,LSTM,5.667695045471191,2.204209089279175,0.9528019412116292,0.7001257984967687,66.56846078068354,664.7474702447653,670.8521053583552,99.74758570803507,198.9945817527963
M15444,Micro,362,18,GRU,5.7926411628723145,2.1874287128448486,0.9528019412116292,0.7001257984967687,66.56846078068354,664.1862695482042,670.3001791858328,99.6613294837114,198.65208118942724
M15444,Micro,362,18,TCN,8.971390008926392,0.7522978782653809,0.9528019412116292,0.7001257984967687,66.56846078068354,75.78379991319444,92.75573045103002,11.536311617804436,11.58678113106731
M15504,Micro,230,18,ARIMA,0.0290079116821289,0.002040147781372,0.8784978249473243,0.0095984887506095,53.84743149390541,32.96397276544674,38.623031688528,3.3762524002912215,3.3074268554535142
M15504,Micro,230,18,SARIMA,0.6521270275115967,0.0060629844665527,0.8784978249473243,0.0095984887506095,53.84743149390541,25.202897130021125,27.746607765123112,2.5541723417027864,2.542221057969106
M15504,Micro,230,18,Holt-Winters,0.0393800735473632,0.0013010501861572,0.8784978249473243,0.0095984887506095,53.84743149390541,62.85518968359429,74.01419254575451,6.285312107687652,6.568647829100621
M15504,Micro,230,18,DLM,0.0645501613616943,0.003394603729248,0.8784978249473243,0.0095984887506095,53.84743149390541,23.016380269176775,31.91915561444501,2.288474994264366,2.330407702570088
M15504,Micro,230,18,RNN,2.954596996307373,2.3706061840057373,0.8784978249473243,0.0095984887506095,53.84743149390541,987.5637571546766,987.9939750595672,99.90438723767537,199.501974359674
